WBID_2012,WATERSHED,WATERBODY,AU_ID,LOCATION1,LOCATION2,WATERCODE,WATERTYPE,AU_SIZE,SIZE_UNIT,CLASS,QUALIFIER,CATEGORY,TMDL_COUNT,ORIG_FID,Name,Descript,BatchDone,SnapOn,SrcType,Area_SQ_MI,WATERBODY_1,AU_ID_1,TOTAREA,AGAREA,DEVAREA,NATAREA,WETAREA,PERCAG,PERCDEV,PERCNAT,PERCWET,pNatWet_Tt,TOTAREA_PR,AGAREA_PR,DEVAREA_PR,NATAREA_PR,WETAREA_PR,PERCAG_PR,PERCDEV_PR,PERCNAT_PR,PERCWET_PR,TOTAREA_ST,AGAREA_ST,DEVAREA_ST,NATAREA_ST,WETAREA_ST,PERCAG_ST,PERCDEV_ST,PERCNAT_ST,PERCWET_ST,SUM_PERCAG,SUM_PERCDE,SUM_PERCNA,SUM_PERCWE,TOTAREA_SP,AGAREA_SP,DEVAREA_SP,NATAREA_SP,WETAREA_SP,PERCAG_SP,PERCDEV_SP,PERCNAT_SP,PERCWET_SP,PercImp,OBJECTID *,Shape *
3211775,Westfield,Swift River,MA32-12, , , , ,11.3,MILES, , , ,0,6,MA32_12,Outlet,1,1,0,29.98,Swift River,MA32-12,29.97,2.06469,0.963422,24.775495,2.16743,6.9,3.2,82.7,7.2,89.9,10.03,0.361472,0.370955,8.682843,0.618216,3.6,3.7,86.5,6.2,7.59,0.332012,0.228542,5.758405,1.275378,4.4,3,75.8,16.8,<Null>,<Null>,<Null>,<Null>,2.31,0.062875,0.089946,1.81808,0.336895,2.7,3.9,78.8,14.6,1.43,30,Point
3211525,Westfield,West Falls Branch,MA32-13, , , , ,2.9,MILES, , , ,0,7,MA32_13,Outlet,1,1,0,12.29,West Falls Branch,MA32-13,12.29,1.012171,0.458468,10.621865,0.196691,8.2,3.7,86.4,1.6,88,3.52,0.223927,0.12012,3.082939,0.094043,6.4,3.4,87.6,2.7,2.5,0.111964,0.124861,2.195022,0.072993,4.5,5,87.6,2.9,<Null>,<Null>,<Null>,<Null>,0.87,0.019581,0.059407,0.760694,0.031368,2.2,6.8,87.3,3.6,1.7,31,Point
3211150,Westfield,Watts Stream,MA32-14, , , , ,5.2,MILES, , , ,0,8,MA32_14,Outlet,1,1,0,4.37,Watts Stream,MA32-14,4.37,0.343698,0.219299,3.656293,0.153009,7.9,5,83.6,3.5,87.1,3.34,0.291251,0.207506,2.721383,0.116889,8.7,6.2,81.6,3.5,1.23,0.022838,0.048254,1.088508,0.069229,1.9,3.9,88.6,5.6,<Null>,<Null>,<Null>,<Null>,1.04,0.022235,0.047774,0.917725,0.054877,2.1,4.6,88,5.3,2,32,Point
3211175,Westfield,Wards Stream,MA32-15, , , , ,5.1,MILES, , , ,0,9,MA32_15,Outlet,1,1,0,4.23,Wards Stream,MA32-15,4.23,0.635153,0.377293,2.84669,0.367252,15,8.9,67.4,8.7,76.1,3.58,0.547305,0.279312,2.415703,0.339433,15.3,7.8,67.4,9.5,0.93,0.053494,0.04989,0.629144,0.200137,5.7,5.3,67.5,21.5,<Null>,<Null>,<Null>,<Null>,0.78,0.041034,0.037853,0.51187,0.187562,5.3,4.9,65.8,24.1,2.81,33,Point
3211100,Westfield,Little River,MA32-16, , , , ,5.7,MILES, , , ,0,28,MA32_16,Outlet,1,1,0,15.26,Little River,MA32-16,15.26,1.298572,0.750287,12.308808,0.900548,8.5,4.9,80.7,5.9,86.6,3.14,0.116275,0.079948,2.820796,0.122065,3.7,2.5,89.9,3.9,3.41,0.091599,0.15509,2.689406,0.473609,2.7,4.5,78.9,13.9,<Null>,<Null>,<Null>,<Null>,0.51,0,0.031986,0.408613,0.070954,0,6.3,79.9,13.9,1.87,52,Point
3210600,Westfield,Depot Brook,MA32-17, , , , ,5.9,MILES, , , ,0,10,MA32_17,Outlet,1,1,0,13.06,Depot Brook,MA32-17,12.99,0.179071,0.495977,11.547086,0.767243,1.4,3.8,88.9,5.9,94.8,8.93,0.111856,0.420459,7.83929,0.561802,1.3,4.7,87.8,6.3,2.6,0.025672,0.167931,2.124559,0.285833,1,6.4,81.6,11,<Null>,<Null>,<Null>,<Null>,1.91,0.018698,0.157455,1.508733,0.228267,1,8.2,78.9,11.9,1.59,34,Point
3210625,Westfield,Shaker Mill Brook,MA32-18, , , , ,4.1,MILES, , , ,0,11,MA32_18,Outlet,1,1,0,6.43,Shaker Mill Brook,MA32-18,6.37,0.06837,0.178333,5.702001,0.419685,1.1,2.8,89.5,6.6,96.1,4.72,0.047664,0.157857,4.172101,0.341481,1,3.3,88.4,7.2,1.36,0.009158,0.041305,1.168785,0.144472,0.7,3,85.7,10.6,<Null>,<Null>,<Null>,<Null>,1.18,0.00506,0.037714,1.007735,0.128615,0.4,3.2,85.5,10.9,1.33,35,Point
3210550,Westfield,Yokum Brook,MA32-19, , , , ,4,MILES, , , ,0,12,MA32_19,Outlet,1,1,0,8.33,Yokum Brook,MA32-19,8.32,0.071501,0.324808,7.342552,0.581048,0.9,3.9,88.3,7,95.3,6.26,0.071501,0.288702,5.508244,0.395905,1.1,4.6,87.9,6.3,1.51,0.009736,0.134985,1.223279,0.14528,0.6,8.9,80.8,9.6,<Null>,<Null>,<Null>,<Null>,1.22,0.009736,0.118971,0.975421,0.114187,0.8,9.8,80.1,9.4,1.98,36,Point
3210300,Westfield,Walker Brook,MA32-20, , , , ,7.1,MILES, , , ,0,13,MA32_20,Outlet,1,1,0,18.74,Walker Brook,MA32-20,18.73,0.0362,1.041294,16.839495,0.816181,0.2,5.6,89.9,4.4,94.3,9.18,0.023001,0.251217,8.609906,0.29675,0.3,2.7,93.8,3.2,3.71,0.000926,0.30689,3.177347,0.229559,0,8.3,85.5,6.2,<Null>,<Null>,<Null>,<Null>,1.56,0.000926,0.090302,1.382395,0.085433,0.1,5.8,88.7,5.5,2.87,37,Point
3209800,Westfield,Bradley Brook,MA32-21, , , , ,0.7,MILES, , , ,0,14,MA32_21,Outlet,1,1,0,10.97,Bradley Brook,MA32-21,10.97,0.222304,0.563569,9.96019,0.22298,2,5.1,90.8,2,92.8,7.02,0.088002,0.308492,6.479844,0.145387,1.3,4.4,92.3,2.1,3,0.022131,0.165954,2.699146,0.11327,0.7,5.5,90,3.8,<Null>,<Null>,<Null>,<Null>,2.04,0.014013,0.126959,1.81744,0.082436,0.7,6.2,89.1,4,1.95,38,Point
3209725,Westfield,Potash Brook,MA32-22, , , , ,5.2,MILES, , , ,0,15,MA32_22,Outlet,1,1,0,6.6,Potash Brook,MA32-22,6.6,0.056704,0.600111,5.739223,0.206076,0.9,9.1,86.9,3.1,90,4.98,0.009316,0.338191,4.483637,0.152969,0.2,6.8,90,3.1,1.82,0.015227,0.194392,1.516007,0.097916,0.8,10.7,83.1,5.4,<Null>,<Null>,<Null>,<Null>,1.38,0.001807,0.137518,1.175687,0.064124,0.1,10,85.2,4.6,4.17,39,Point
3208600,Westfield,Pond Brook,MA32-24, , , , ,3.9,MILES, , , ,0,16,MA32_24,Outlet,1,1,0,8.78,Pond Brook,MA32-24,8.78,0.242701,2.425489,5.604292,0.504129,2.8,27.6,63.9,5.7,69.6,4.53,0.069181,1.45797,2.786113,0.218306,1.5,32.2,61.5,4.8,1.48,0.025624,0.285715,0.920426,0.250072,1.7,19.3,62.1,16.9,<Null>,<Null>,<Null>,<Null>,0.96,0.025624,0.170205,0.620139,0.146443,2.7,17.7,64.4,15.2,9.32,40,Point
3208375,Westfield,Great Brook,MA32-25, , , , ,10.8,MILES, , , ,0,17,MA32_25,Outlet,1,1,0,24.38,Great Brook,MA32-25,22.15,2.829885,5.061355,12.673514,1.589729,12.8,22.8,57.2,7.2,64.4,7.34,0.777122,1.944569,4.167811,0.453465,10.6,26.5,56.8,6.2,6.18,0.61979,1.055513,3.46123,1.040931,10,17.1,56,16.9,<Null>,<Null>,<Null>,<Null>,2.22,0.125447,0.404451,1.37585,0.309651,5.7,18.3,62.1,14,7.75,41,Point
3208325,Westfield,Miller Brook,MA32-27, , , , ,0.6,MILES, , , ,0,18,MA32_27,Outlet,1,1,0,0.5,Miller Brook,MA32-27,0.5,0.002107,0.17681,0.306342,0.013411,0.4,35.5,61.4,2.7,64.1,0.5,0.002107,0.17681,0.306342,0.013411,0.4,35.5,61.4,2.7,0.12,0,0.007294,0.112157,0.004502,0,5.9,90.5,3.6,<Null>,<Null>,<Null>,<Null>,0.12,0,0.007294,0.112157,0.004502,0,5.9,90.5,3.6,13.87,42,Point
3208300,Westfield,White Brook,MA32-28, , , , ,0.9,MILES, , , ,0,19,MA32_28,Outlet,1,1,0,0.73,White Brook,MA32-28,0.67,0.012747,0.321185,0.305025,0.028514,1.9,48.1,45.7,4.3,50,0.67,0.012747,0.321185,0.305025,0.028514,1.9,48.1,45.7,4.3,0.17,0,0.043168,0.103823,0.018143,0,26.1,62.9,11,<Null>,<Null>,<Null>,<Null>,0.17,0,0.043168,0.103823,0.018143,0,26.1,62.9,11,20.06,43,Point
3208350,Westfield,Paucatuck Brook,MA32-29, , , , ,1.5,MILES, , , ,0,20,MA32_29,Outlet,1,1,0,6.38,Paucatuck Brook,MA32-29,6.37,0.008344,0.667002,5.232987,0.460207,0.1,10.5,82.2,7.2,89.4,2.62,0.002684,0.464625,2.002067,0.149108,0.1,17.7,76.5,5.7,1.53,0.00005,0.094057,1.257224,0.176839,0,6.2,82.3,11.6,<Null>,<Null>,<Null>,<Null>,0.74,0.00005,0.058391,0.59221,0.08727,0,7.9,80.3,11.8,2.92,44,Point
3210000,Westfield,Roaring Brook,MA32-30, , , , ,4.3,MILES, , , ,0,21,MA32_30,Outlet,1,1,0,5.85,Roaring Brook,MA32-30,5.85,0.222442,0.297558,5.211408,0.116649,3.8,5.1,89.1,2,91.1,4.34,0.111455,0.181838,3.973706,0.072213,2.6,4.2,91.6,1.7,1.21,0.029738,0.046149,1.077393,0.061161,2.4,3.8,88.7,5,<Null>,<Null>,<Null>,<Null>,1.01,0.019693,0.040837,0.906158,0.040353,2,4.1,90,4,2.01,45,Point
3210200,Westfield,Sanderson Brook,MA32-31, , , , ,2.7,MILES, , , ,0,22,MA32_31,Outlet,1,1,0,4.62,Sanderson Brook,MA32-31,4.62,0.046811,0.084987,4.390487,0.099473,1,1.8,95,2.2,97.2,4.62,0.046312,0.084885,4.390281,0.099473,1,1.8,95,2.2,1.29,0.001715,0.016769,1.233163,0.03406,0.1,1.3,95.9,2.6,<Null>,<Null>,<Null>,<Null>,1.29,0.001715,0.016769,1.233163,0.03406,0.1,1.3,95.9,2.6,0.77,46,Point
3210800,Westfield,Kinne Brook,MA32-32, , , , ,4,MILES, , , ,0,23,MA32_32,Outlet,1,1,0,5.73,Kinne Brook,MA32-32,5.73,0.278581,0.131457,5.115251,0.206244,4.9,2.3,89.2,3.6,92.8,3.77,0.03394,0.03307,3.523456,0.175461,0.9,0.9,93.6,4.7,1.46,0.08648,0.041679,1.258209,0.077368,5.9,2.8,86,5.3,<Null>,<Null>,<Null>,<Null>,0.98,0.010956,0.016334,0.880837,0.068392,1.1,1.7,90.2,7,0.97,47,Point
3209500,Westfield,Bedlam Brook,MA32-33, , , , ,2.8,MILES, , , ,0,24,MA32_33,Outlet,1,1,0,14.28,Bedlam Brook,MA32-33,14.28,0.313982,0.673146,12.560214,0.73253,2.2,4.7,88,5.1,93.1,6.4,0.188953,0.391492,5.567586,0.254216,3,6.1,87,4,3.47,0.041232,0.138585,2.903526,0.38469,1.2,4,83.7,11.1,<Null>,<Null>,<Null>,<Null>,1.76,0.019077,0.060873,1.508671,0.167039,1.1,3.5,85.9,9.5,1.88,48,Point
3208975,Westfield,Dickinson Brook,MA32-34, , , , ,3.4,MILES, , , ,0,25,MA32_34,Outlet,1,1,0,13.07,Dickinson Brook,MA32-34,13.03,0.423475,0.5788,11.602006,0.422448,3.3,4.4,89.1,3.2,92.3,11.85,0.392647,0.543133,10.550875,0.366906,3.3,4.6,89,3.1,3.07,0.07389,0.177816,2.624585,0.191415,2.4,5.8,85.6,6.2,<Null>,<Null>,<Null>,<Null>,2.85,0.069318,0.174624,2.426666,0.178744,2.4,6.1,85.2,6.3,1.85,49,Point
3208725,Westfield,Little River,MA32-35, , , , ,2.6,MILES, , , ,0,26,MA32_35,Outlet,1,1,0,48.5,Little River,MA32-35,48.43,0.882249,1.181863,43.799515,2.563199,1.8,2.4,90.4,5.3,95.7,7.35,0.049505,0.097823,7.12143,0.079569,0.7,1.3,96.9,1.1,13.62,0.123034,0.280256,11.739014,1.477618,0.9,2.1,86.2,10.8,<Null>,<Null>,<Null>,<Null>,2.09,0.002438,0.053559,1.97991,0.052729,0.1,2.6,94.8,2.5,1.02,50,Point
3208725,Westfield,Little River,MA32-36, , , , ,5.8,MILES, , , ,0,27,MA32_36,Outlet,1,1,0,78.5,Little River,MA32-36,78.38,2.161142,3.330003,69.113677,3.770893,2.8,4.2,88.2,4.8,93,9.78,0.468456,1.099088,7.760268,0.447415,4.8,11.2,79.4,4.6,21.37,0.491829,0.870705,17.860297,2.146653,2.3,4.1,83.6,10,<Null>,<Null>,<Null>,<Null>,2.72,0.204454,0.264639,1.967843,0.284373,7.5,9.7,72.3,10.4,1.71,51,Point
3208800,Westfield,Ashley Brook,MA32-37, , , , ,0.5,MILES, , , ,0,30,MA32_37,Outlet,1,1,0,1.08,Ashley Brook,MA32-37,1.08,0.090951,0.454145,0.500363,0.037132,8.4,41.9,46.2,3.4,49.6,1.08,0.090951,0.454145,0.500363,0.037132,8.4,41.9,46.2,3.4,0.26,0.040462,0.071502,0.11481,0.031516,15.7,27.7,44.4,12.2,<Null>,<Null>,<Null>,<Null>,0.26,0.040462,0.071502,0.11481,0.031516,15.7,27.7,44.4,12.2,11.45,54,Point
3209125,Westfield,Cook Brook,MA32-38, , , , ,2,MILES, , , ,0,32,MA32_38,Outlet,1,1,0,1.44,Cook Brook,MA32-38,1.44,0.033642,0.125495,1.269961,0.015774,2.3,8.7,87.9,1.1,89,1.44,0.033642,0.125495,1.269961,0.015774,2.3,8.7,87.9,1.1,0.5,0.004632,0.085357,0.39622,0.013085,0.9,17.1,79.4,2.6,<Null>,<Null>,<Null>,<Null>,0.5,0.004632,0.085357,0.39622,0.013085,0.9,17.1,79.4,2.6,3.28,56,Point
3208775,Westfield,Jacks Brook,MA32-39, , , , ,2.4,MILES, , , ,0,31,MA32_39,Outlet,1,1,0,2.79,Jacks Brook,MA32-39,2.79,0.261677,0.699164,1.640462,0.18898,9.4,25.1,58.8,6.8,65.6,2.79,0.261677,0.699164,1.640462,0.18898,9.4,25.1,58.8,6.8,0.64,0.086837,0.094258,0.382509,0.073257,13.6,14.8,60.1,11.5,<Null>,<Null>,<Null>,<Null>,0.64,0.086837,0.094258,0.382509,0.073257,13.6,14.8,60.1,11.5,7.03,55,Point
3209700,Westfield,MOOSE MEADOW BROOK,MA32-40, , , , ,2.9,MILES, , , ,0,58,MA32_40,Outlet,1,1,0,1.77,MOOSE MEADOW BROOK,MA32-40,1.77,0.053349,0.073899,1.450312,0.18806,3,4.2,82.1,10.7,92.8,1.77,0.053349,0.073899,1.450312,0.18806,3,4.2,82.1,10.7,0.53,0.004091,0.016192,0.388269,0.122592,0.8,3,73.1,23.1,<Null>,<Null>,<Null>,<Null>,0.53,0.004091,0.016192,0.388269,0.122592,0.8,3,73.1,23.1,2.05,82,Point
3209700,Westfield,MOOSE MEADOW BROOK,MA32-41, , , , ,4.8,MILES, , , ,0,29,MA32_41,Outlet,1,1,0,8.08,MOOSE MEADOW BROOK,MA32-41,8.07,0.56721,0.487559,6.460653,0.558836,7,6,80,6.9,86.9,4.23,0.501781,0.354505,3.151382,0.226306,11.9,8.4,74.4,5.3,2.66,0.229792,0.184974,1.940236,0.304062,8.6,7,73,11.4,<Null>,<Null>,<Null>,<Null>,1.52,0.22209,0.149144,1.032349,0.116059,14.6,9.8,67.9,7.6,2.15,53,Point
3210475,Westfield,FACTORY BROOK,MA32-42, , , , ,7.6,MILES, , , ,0,33,MA32_42,Outlet,1,1,0,11.29,FACTORY BROOK,MA32-42,11.28,0.221324,0.286824,10.15903,0.61519,2,2.5,90,5.5,95.5,3.88,0.125937,0.143682,3.428479,0.185739,3.2,3.7,88.3,4.8,1.95,0.035367,0.06604,1.607833,0.243518,1.8,3.4,82.3,12.5,<Null>,<Null>,<Null>,<Null>,0.73,0.015629,0.033597,0.597831,0.08674,2.1,4.6,81.5,11.8,1.11,57,Point
3210500,Westfield,GEER BROOK,MA32-43, , , , ,1.8,MILES, , , ,0,34,MA32_43,Outlet,1,1,0,1.81,GEER BROOK,MA32-43,1.81,0.010956,0.077173,1.647027,0.070044,0.6,4.3,91.2,3.9,95.1,1.81,0.010956,0.077173,1.647027,0.070044,0.6,4.3,91.2,3.9,0.38,0,0.022986,0.333599,0.022645,0,6.1,88,6,<Null>,<Null>,<Null>,<Null>,0.38,0,0.022986,0.333599,0.022645,0,6.1,88,6,1.93,58,Point
3211050,Westfield,POND BROOK,MA32-44, , , , ,3.1,MILES, , , ,0,35,MA32_44,Outlet,1,1,0,2.77,POND BROOK,MA32-44,2.77,0.057214,0.175098,2.446309,0.088393,2.1,6.3,88.4,3.2,91.6,2.7,0.057214,0.173174,2.378777,0.087618,2.1,6.4,88.2,3.2,0.5,0.002003,0.067224,0.378882,0.047229,0.4,13.6,76.5,9.5,<Null>,<Null>,<Null>,<Null>,0.5,0.002003,0.067224,0.378882,0.047229,0.4,13.6,76.5,9.5,2.75,59,Point
3211550,Westfield,BRONSON BROOK,MA32-45, , , , ,4.2,MILES, , , ,0,36,MA32_45,Outlet,1,1,0,10.07,BRONSON BROOK,MA32-45,10.07,0.998065,0.399367,8.513411,0.159577,9.9,4,84.5,1.6,86.1,6.99,0.928547,0.311124,5.610604,0.138218,13.3,4.5,80.3,2,1.88,0.104787,0.082823,1.632324,0.060762,5.6,4.4,86.8,3.2,<Null>,<Null>,<Null>,<Null>,1.34,0.096263,0.065627,1.132869,0.048525,7.2,4.9,84.3,3.6,1.78,60,Point
3211625,Westfield,KEARNERY BROOK,MA32-46, , , , ,3.2,MILES, , , ,0,37,MA32_46,Outlet,1,1,0,2.21,KEARNERY BROOK,MA32-46,2.21,0.109765,0.071134,2.001523,0.026766,5,3.2,90.6,1.2,91.8,2.06,0.109765,0.065417,1.85697,0.026653,5.3,3.2,90.2,1.3,0.5,0.011616,0.017912,0.451594,0.019209,2.3,3.6,90.3,3.8,<Null>,<Null>,<Null>,<Null>,0.5,0.011616,0.017912,0.451594,0.019209,2.3,3.6,90.3,3.8,1.49,61,Point
3211700,Westfield,TOWER BROOK,MA32-47, , , , ,4.1,MILES, , , ,0,38,MA32_47,Outlet,1,1,0,3.84,TOWER BROOK,MA32-47,3.84,0.258556,0.11344,3.255592,0.216871,6.7,3,84.7,5.6,90.3,3.16,0.128344,0.077401,2.776108,0.175321,4.1,2.5,87.9,5.6,0.8,0.053267,0.034731,0.629342,0.078467,6.7,4.4,79.1,9.9,<Null>,<Null>,<Null>,<Null>,0.62,0.017581,0.028826,0.503642,0.065106,2.9,4.7,81.9,10.6,1.42,62,Point
3211825,Westfield,STONES BROOK,MA32-48, , , , ,4.7,MILES, , , ,0,39,MA32_48,Outlet,1,1,0,8.03,STONES BROOK,MA32-48,8.02,0.210009,0.283279,6.812902,0.717622,2.6,3.5,84.9,8.9,93.8,6.41,0.163195,0.235705,5.43554,0.578723,2.5,3.7,84.8,9,1.99,0.047594,0.071393,1.469215,0.405163,2.4,3.6,73.7,20.3,<Null>,<Null>,<Null>,<Null>,1.65,0.041256,0.05847,1.221524,0.330846,2.5,3.5,73.9,20,1.5,63,Point
3211950,Westfield,MILL BROOK,MA32-49, , , , ,6,MILES, , , ,0,40,MA32_49,Outlet,1,1,0,7.64,MILL BROOK,MA32-49,7.63,0.24851,0.271156,6.902563,0.211262,3.3,3.6,90.4,2.8,93.2,2.96,0.175628,0.084277,2.648066,0.049186,5.9,2.8,89.5,1.7,1.8,0.009897,0.074983,1.573553,0.142043,0.5,4.2,87.4,7.9,<Null>,<Null>,<Null>,<Null>,0.67,0.006309,0.019513,0.616789,0.028648,0.9,2.9,91.9,4.3,1.46,64,Point
3212025,Westfield,BARTLETT BROOK,MA32-50, , , , ,2,MILES, , , ,0,41,MA32_50,Outlet,1,1,0,1.97,BARTLETT BROOK,MA32-50,1.97,0.053103,0.049846,1.858804,0.013119,2.7,2.5,94.1,0.7,94.8,1.97,0.053103,0.049846,1.858804,0.013119,2.7,2.5,94.1,0.7,0.46,0.000682,0.011432,0.443222,0.006046,0.1,2.5,96.1,1.3,<Null>,<Null>,<Null>,<Null>,0.46,0.000682,0.011432,0.443222,0.006046,0.1,2.5,96.1,1.3,0.94,65,Point
3212050,Westfield,WESTFIELD BROOK,MA32-51, , , , ,8.6,MILES, , , ,0,42,MA32_51,Outlet,1,1,0,12.33,WESTFIELD BROOK,MA32-51,12.32,0.735155,0.505641,10.437956,0.643525,6,4.1,84.7,5.2,89.9,7.88,0.346419,0.338647,6.992543,0.201823,4.4,4.3,88.7,2.6,2.15,0.078591,0.109498,1.766486,0.199867,3.6,5.1,82,9.3,<Null>,<Null>,<Null>,<Null>,1.49,0.063654,0.083385,1.252754,0.093151,4.3,5.6,83.9,6.2,1.98,66,Point
